Name,ChEBI,Family,Macrocomponent,Alternative Name,Model ID,Formula
N-hexacosanoylphytosphingosine,52980,Ceramide,,,cer2_26_c,C44H89NO4
N-(2-hydroxytetracosanoyl)phytosphingosine,52373,Ceramide,,,cer3_24_c,C42H85NO5
N-(2-hydroxyhexacosanyl)-(4R)-phytosphingosine,52374,Ceramide,,,cer3_26_c,C44H89NO5
GlcCer(d18:0/18:0(2OH[R])),189686,Glucosylceramide,,,glccer180_c,C42H83NO9
GlcCer(d18:1(8E)/18:0(2OH[R])),189689,Glucosylceramide,,,glccer181_c,C42H81NO9
"GlcCer(d18:2(4E,8E)/16:0(2OH[R]))",189690,Glucosylceramide,,,glccer162_c,C40H75NO9
"GlcCer(d18:2(4E,8E)/18:0(2OH[R]))",189691,Glucosylceramide,,,glccer182_c,C42H79NO9
Cerebroside B,172811,Glucosylceramide,,,glccer162m_c,C41H77NO9
Cerebroside D,189692,Glucosylceramide,,,glccer182m_c,C43H81NO9
Ins-1-P-Cer(d18:0/18:0)(1-),72548,IPC,,,ipc118_SC_c,C42H83NO11P
Ins-1-P-Cer(d18:0/2-OH-24:0)(1-),65095,IPC,,,ipc224_SC_c,C48H95NO12P
Ins-1-P-Cer(t18:0/2-OH-24:0)(1-),65162,IPC,,,ipc324_SC_c,C48H95NO13P
"Ins-1-P-Cer(t18:0/2,3-OH-24:0)(1-)",65166,IPC,,,ipc424_SC_c,C48H95NO14P
Ins-1-P-Cer(d18:0/2-OH-26:0)(1-),65094,IPC,,,ipc226_SC_c,C50H99NO12P
Ins-1-P-Cer(t18:0/2-OH-26:0)(1-),65164,IPC,,,ipc326_SC_c,C50H99NO13P
"Ins-1-P-Cer(t18:0/2,3-OH-26:0)(1-)",65168,IPC,,,ipc426_SC_c,C50H99NO14P
Man-beta1-6-Ins-1-P-Cer(t18:0/2-OH-24:0)(1-),65163,MIPC,,,mipc324_SC_c,C54H105NO18P
"Man-beta1-6-Ins-1-P-Cer(t18:0/2,3-OH-24:0)(1-)",65167,MIPC,,,mipc424_SC_c,C54H105NO19P
Man-1-6-Ins-1-P-Cer(t18:0/2-OH-26:0)(1-),65165,MIPC,,,mipc326_SC_c,C56H109NO18P
"Man-1-6-Ins-1-P-Cer(t18:0/2,3-OH-26:0)(1-)",65169,MIPC,,,mipc426_SC_c,C56H109NO19P
Ins-1-P-6-Man-beta1-6-Ins-1-P-Cer(t18:0/2-OH-24:0)(2-),65203,M(IP)2C,,,mip2c324_SC_c,C60H115NO26P2
"Ins-1-P-6-Man-beta1-6-Ins-1-P-Cer(t18:0/2,3-OH-24:0)(2-)",65204,M(IP)2C,,,mip2c424_SC_c,C60H115NO27P2
Ins-1-P-6-Man-beta1-3-Ins-1-P-Cer(t18:0/2-OH-26:0)(2-),65206,M(IP)2C,,,mip2c326_SC_c,C62H119NO26P2
tetradecanoate,30807,Fatty Acids,,Tetradecanoate,ttdca_c,C14H27O2
hexadecanoate,7896,Fatty Acids,,Hexadecanoate,hdca_c,C16H31O2
hexadecenoate,78095,Fatty Acids,,Hexadecenoate,hdcea_c,C16H29O2
octadecanoate,25629,Fatty Acids,,Octadecanoate,ocdca_c,C18H35O2
octadecenoate,78049,Fatty Acids,,Octadecenoate,ocdcea_c,C18H33O2
octadecadienoate,25626,Fatty Acids,,Octadecadienoate,ocdcya_c,C18H31O2
octadecatrienoate,36434,Fatty Acids,,Octadecatrienoate,lnlnca_c,C18H29O2
cerotate,31013,Fatty Acids,,hexacosanoate,hexc_c,C26H51O2
NADH,16908,Cofactors,,,nadh_c,C21H29N7O14P2
NAD(+),15846,Cofactors,,,nad_c,C21H28N7O14P2
NADP(+),18009,Cofactors,,,nadp_c,C21H29N7O17P3
NADPH,16474,Cofactors,,,nadph_c,C21H30N7O17P3
coenzyme A,15346,Cofactors,,,coa_c,C21H36N7O16P3S
oxolane,26911,Cofactors,,THF,thf_c,C4H8O
TDP,61377,Cofactors,,,dtdp_c,C10H16N2O12P2
FAD,16238,Cofactors,,,fad_c,C27H33N9O15P2
ATP,15422,Cofactors,,,atp_c,C10H12N5O13P3
phosphate(3-),18367,Cofactors,,Pi,pi_c,O4P
water,15377,Cofactors,,H2O,h2o_c,H2O
hydron,15378,Cofactors,,H,h_c,H
ADP,16761,Cofactors,,ADP,adp_c,C10H15N5O10P2
